Covidence #,Topics,Databases used,Grey Literature,Unique,UniquePercentNoGrey,UniquePercent,Includes,DatabaseIncludesPercent,GreyLiteratureIncludesPercent,Other sources searched,MedlineAverage,Medline,PubMed,CINAHL,Cochrane Library,Cochrane Central,Embase,ERIC,PEDro,PsycINFO,Scopus,Web of Science,ABI/INFORM,Academic Search Complete,Academic Search Premier,ACM,ACP,AEI,AESC,AgeLine,Agricola,AGRIS,AHM,AIM,Airiti,AJOL,AMED,Annual Review,Anthropology Plus,ASSIA,ASTS,ASU,ATLA,AUSPORT,AWI,BanglaJol,BAS,BBO,BDENF,BEI,Biological Abstracts,BIOSIS,BMC,BNI,BrainMap,BSC,Business Source Complete,Business Source Elite,Business Source Premier,BVS,BVS Vet,CAB,CABI,Cairn,CAJ,Capes Periodicos,CBCA,CBM,CDAS,CDSR,CEA,CEBAM,Chaoxing,CiNii,CJA,ClinicalKey,CMAD,CNKI,COAP,COHG,Communication Source,Communications and Mass Media Complete,Compendex,CoronaCentral,Coronavirus Research Database,CPI,CRD,CUIDEN,DARE,Dbpia,Dialnet,DOAJ,DOSS,EAA,EBM Reviews,EconBiz,EconLit,EconPapers,Education Full Text,Education Research Complete,Education Source,EKB,eLibrary.ru,Emcare,Emerald,EMF,ENFISPO,Engineering Village,Environment Complete,Epistemonikos,ERN,Erudit,ESCI,Europe PMC,FSTA,Garuda,Gender Studies,GenderWatch,GHL,GIM,Global Health,Greenfile,HAMC,HAPI,Health Research Premium,Health Source,HealthSTAR,HEED,HFT,HII,Hinari,Historical Abstracts,HMIC,HPRC,IASJ,IBECS,IBSS,IBTD,Ichushi-Web,ICL,IDEAS,IEEE Xplore,IMBIOMED,IMEMR,IMSEAR,Index Islamicus,IndexPsi,Inspec,IPA,IranMedex,ISJD,JBI,JMEDPlus,Journals@Ovid,JSTOR,Jurn,KCI,KISS,KMbase,KoreaMed,KTKP,LGBTQ+ Source,LILACS,LISSA,LISTA,LitCovid,LIVIVO,LLBA,LOVE,Magiran,MasterFILE,Maternity and Infant Care,MDPI,Medes,Medic,MedicLatina,MINERVA,MLAIB,MPD,NAHC,NCJRS,NCL,NDSL,NHS EED,NTIS,OASIS,OSTMED,OTseeker,Ovid Nursing,PakMediNet,PBSC,PEDE,PEI,PePsic,PHD,Philosopher's Index,PLOS,PMC,Popline,PreMedline,Proquest Central,Proquest Education Database,Proquest Health & Medical,Proquest Nursing & Allied Health,Proquest Psychology Database,Proquest Sociology,PSICODOC,PsycARTICLES,PsycNet,PSYNDEX,PTSDpubs,PubPsych,PubSpace,Qikan,Redalyc,REDIB,REHABDATA,REPEC,Retraction Watch,RILM,RRA,RSMS,Rx for Change,Sage,Saudi Digital Library,ScHARRHUD,SCI,SciELO,Science.gov,ScienceDirect,ScienceON,Scilit,SID,Sinomed,SMEI,SocINDEX,Sociological Abstracts,speechBITE,SPIE,SPORTDiscus,SPP,Springer,SSA,SSCI,SSD,SSFT,SSPC,STC,SURF,SveMed,SWA,TANDF,Teacher Reference Center,TEL,ThaiJo,TRDizin,TRID,Trip,VIP,Virology and AIDS Abstracts,Wanfang,WAO,WHO COVID,WIKISTIM,Wiley,WorldWideScience,WPRIM,WSI,Yiigle
19528,Allied Health; Medicine; Neurological; Art/music/drama therapy,CINAHL; Cochrane Central; PsycINFO,108,556,75%,75%,13,2%,2%,"Hand searching (specific journals, conferences, websites)",314,,314,144,,106,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17246,Allied Health; Medicine; Neurological; Art/music/drama therapy,CINAHL; Embase; PsycINFO; RILM; Web of Science,53,467,57%,57%,13,2%,1%,Citation searching (forward or backward); Theses or dissertations,245,,245,178,,,89,,,113,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Allied Health; Medicine; Neurological; Art/music/drama therapy,CINAHL; Embase; PsycINFO; Web of Science,,2452,81%,81%,14,0%,0%,,742,1247,237,118,,,6,,,47,,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,Allied Health; Medicine; Neurological; Art/music/drama therapy,PEDro; ScienceDirect; Web of Science,,1702,58%,58%,15,1%,1%,,288,163,413,,,,,,0,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9002,Allied Health; Medicine; Neurological; Art/music/drama therapy,Scopus; Web of Science,,742,32%,32%,10,0%,0%,,797,,797,,,,,,,,1222,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4675,Allied Health; Medicine; Neurological; Art/music/drama therapy,Cochrane Library; Embase,,418,62%,62%,21,3%,3%,,108,,108,,387,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15753,Allied Health; Medicine; Reproductive health and childbirth; Surgery; Art/music/drama therapy,PsycINFO; Web of Science,,351,70%,70%,28,6%,6%,,147,,147,,,,,,,147,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3183,Allied Health; Medicine; Sleep; Art/music/drama therapy,CINAHL; Embase; PsycINFO; Scopus,1,1101,73%,73%,10,1%,1%,Citation searching (forward or backward); Previous reviews,104,,104,47,,,239,,,52,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687,Allied Health; Dentistry; Art/music/drama therapy,Cochrane Library; Embase; Scopus; Web of Science,,70,61%,61%,5,4%,4%,,29,,29,,24,,19,,,,9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15763,"Allied Health; Psychology, Psychiatry and Mental Health; Art/music/drama therapy",CINAHL; ERIC; LILACS; PsycINFO; ScienceDirect; Scopus; Web of Science,100,785,112%,98%,5,1%,1%,"Scholarly search engines (Google Scholar, ResearchGate, etc); Trial registries",185,,185,12,,,,35,,92,29,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
